Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
P12081;P49590	P12081;P49590	HARS1_HUMAN;SYHM_HUMAN	HARS1;HARS2	Histidine--tRNA ligase, cytoplasmic	112.887	116.36	108.79
P12109	P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	24.5018	43.5563	32.9929
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	17.7469	24.448	24.2759
P12235;P12236	P12236;P12235	ADT1_HUMAN;ADT3_HUMAN	SLC25A4;SLC25A6	ADP/ATP translocase 1	187.994	183.11	241.868
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	174.901	167.846	190.692
P12259	P12259	FA5_HUMAN	F5	Coagulation factor V	15.2864	22.535	20.0196
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	639.066	677.383	657.534
P12268;P20839	P20839;P12268	IMDH1_HUMAN;IMDH2_HUMAN	IMPDH1;IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	166.451	195.716	179.132
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	39.7546	47.9799	39.166
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	923.344	1039.25	1054.19
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	364.677	366.201	344.741
P12532	P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	71.8588	54.7673	59.3135
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	85.5097	93.201	75.7696
P12830	P12830	CADH1_HUMAN	CDH1	Cadherin-1	11.7161		14.9039
P12931	P12931;P07947;P06241	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	27.1866	29.7969	31.3362
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	41.1091	47.3359	59.0259
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	461.78	473.46	431.134
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	516.301	499.375	499.653
P13051	P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase	17.4619	16.8714	20.238
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	301.183	267.782	258.865
P13164;Q01628;Q01629	Q01629;P13164;Q01628	IFM1_HUMAN;IFM2_HUMAN;IFM3_HUMAN	IFITM1;IFITM2;IFITM3	Interferon-induced transmembrane protein 1	17.2904	22.7879	34.8094
P13284	P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase	11.5282	19.2765	10.4633
P13473	P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	42.0547	47.2041	53.5107
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	178.713	220.643	225.563
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	1477.86	1474.36	1555.27
P13639;Q15029	Q15029;P13639	EF2_HUMAN;U5S1_HUMAN	EEF2;EFTUD2	Elongation factor 2	1566.4	1365.22	1514.72
P13645	P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	408.353	949.444	222.886
P13646;P19012	P13646;P19012	K1C13_HUMAN;K1C15_HUMAN	KRT13;KRT15	Keratin, type I cytoskeletal 13	458.045	563.949	466.551
P13647	P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	120.55	237.604	53.8852
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	221.101	206.346	239.411
P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	38.8304		23.9911
P13693	Q9HAU6;P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	212.072	218.375	215.965
P13726	P13726	TF_HUMAN	F3	Tissue factor	7.447		
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	87.7616	104.869	79.7791
P13797;Q14651	P13797;Q14651	PLSI_HUMAN;PLST_HUMAN	PLS1;PLS3	Plastin-3	87.3721	102.362	63.8472
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	130.515	121.653	112.985
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	122.468	105.402	124.955
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle			17.0878
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	42.0914	37.7979	39.5737
P13861;P31323	P13861;P31323	KAP2_HUMAN;KAP3_HUMAN	PRKAR2A;PRKAR2B	cAMP-dependent protein kinase type II-alpha regulatory subunit	11.967		23.8852
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	27.7511	23.1749	26.8557
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	334.253	313.881	292.335
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	888.91	1206.21	1698.54
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	220.924	206.552	228.956
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	194.045	192.995	170.27
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	34.742	35.105	32.1896
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	87.7052	99.4582	100.57
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	2399.71	2328.76	2177.49
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	1069.58	1021.07	1000.92
P14635	P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	29.4973	9.06485	12.3343
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B			1.64092
P14649;P60660	P60660;P14649	MYL6B_HUMAN;MYL6_HUMAN	MYL6;MYL6B	Myosin light chain 6B	238.772	279.915	323.512
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	76.4238	130.457	82.7785
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	82.9593	78.7086	78.305
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	76.5362	60.7852	107.277
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	38.2099	63.1493	32.3166
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	184.298	176.444	171.21
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	20.5948	22.704	15.8463
P14923;P35222	P14923;P35222	CTNB1_HUMAN;PLAK_HUMAN	CTNNB1;JUP	Junction plakoglobin	22.2965	24.3471	29.4844
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	40.2623	37.112	31.9283
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	98.744	96.1407	80.5165
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor		19.8659	24.4616
P15153	P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2	38.806	23.013	34.3865
P15153;P60763;P60953;P63000;P84095	P17081;P63000;P15153;P60763;Q9H4E5;P84095;P60953	CDC42_HUMAN;RAC1_HUMAN;RAC2_HUMAN;RAC3_HUMAN;RHOG_HUMAN	CDC42;RAC1;RAC2;RAC3;RHOG	Ras-related C3 botulinum toxin substrate 2	50.5752	64.6739	58.4064
P15153;P60763;P63000	P63000;P15153;P60763	RAC1_HUMAN;RAC2_HUMAN;RAC3_HUMAN	RAC1;RAC2;RAC3	Ras-related C3 botulinum toxin substrate 2	241.533	278.868	255.072
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	60.568	49.9	51.6322
P15170;Q8IYD1	Q8IYD1;P15170	ERF3A_HUMAN;ERF3B_HUMAN	GSPT1;GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	41.4328	35.8939	51.9402
P15260	P15260	INGR1_HUMAN	IFNGR1	Interferon gamma receptor 1	6.52319	7.8861	4.84415
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	992.761	1015.07	1068.88
P15311;P26038;P35241	P35241;P26038;P15311	EZRI_HUMAN;MOES_HUMAN;RADI_HUMAN	EZR;MSN;RDX	Ezrin	2569.38	2669.26	2960.66
P15311;P35241	P35241;P15311	EZRI_HUMAN;RADI_HUMAN	EZR;RDX	Ezrin	384.777	342.036	324.776
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	23.2738		24.6302
P15514	P15514	AREG_HUMAN	AREG	Amphiregulin		3.6876	
P15531	P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	595.995	519.435	470.213
P15531;P22392	P15531;P22392;O60361	NDKA_HUMAN;NDKB_HUMAN	NME1;NME2	Nucleoside diphosphate kinase A	1659.7	1603.14	1500.73
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	100.859	94.4054	115.283
P15586	P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	30.2275	23.5296	33.4524
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	660.925	708.896	683.982
P15924	P15924	DESP_HUMAN	DSP	Desmoplakin	32.7245	36.196	31.2947
P15927	P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	91.5629	59.597	77.5602
P16070	P16070	CD44_HUMAN	CD44	CD44 antigen	66.5217	74.3213	96.6995
P16144	P16144	ITB4_HUMAN	ITGB4	Integrin beta-4	32.0513	41.2557	41.8417
P16219	P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	8.64013		14.8531
P16278	P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	10.6706	10.6174	8.3303
P16298	P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform			3.66741
P16298;Q08209	Q08209;P48454;P16298	PP2BA_HUMAN;PP2BB_HUMAN	PPP3CA;PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	77.5431	79.5823	76.7778
P16422	P16422	EPCAM_HUMAN	EPCAM	Epithelial cell adhesion molecule	202.627	215.966	246.238
P16435	P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	72.0047	71.1664	95.3682
P16615	P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	178.841	181.678	164.544
P16885	P16885	PLCG2_HUMAN	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2			14.2095
P16930	P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	16.342	17.7259	15.6203
P16949	P16949	STMN1_HUMAN	STMN1	Stathmin	432.783	411.088	375.88
P16949;Q93045	Q9NZ72;P16949;Q9H169;Q93045;H7BZ55	STMN1_HUMAN;STMN2_HUMAN	STMN1;STMN2	Stathmin	519.471	609.21	477.488
P16989	P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	53.2662	30.1537	70.5897
P16989;P67809	Q9Y2T7;P67809;P16989	YBOX1_HUMAN;YBOX3_HUMAN	YBX1;YBX3	Y-box-binding protein 3	150.85	163.406	157.877
P17096	P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	210.741	158.354	153.95
P17152	P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	18.4921	26.0098	22.0671
P17174	P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	181.601	171.211	172.78
P17301	P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2		9.12692	8.14893
P17480	P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	44.7545	45.1752	49.6825
P17568	P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7			17.3531
P17612	P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	37.5614	29.938	11.4869
P17612;P22694	P17612;P22694	KAPCA_HUMAN;KAPCB_HUMAN	PRKACA;PRKACB	cAMP-dependent protein kinase catalytic subunit alpha	62.1416	37.6152	52.8626
P17655	P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	96.6878	97.5827	103.586
P17706	P17706	PTN2_HUMAN	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	27.2131	44.9507	23.8501
P17812	P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	131.076	133.434	118.274
P17812;Q9NRF8	Q9NRF8;P17812	PYRG1_HUMAN;PYRG2_HUMAN	CTPS1;CTPS2	CTP synthase 1	14.0455	18.3027	14.3934
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	197.053	205.353	191.553
P17844;Q92841	Q92841;P17844	DDX17_HUMAN;DDX5_HUMAN	DDX17;DDX5	Probable ATP-dependent RNA helicase DDX5	368.194	386.643	408.966
P17858	P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	50.0677	50.1535	51.8033
P17858;Q01813	P17858;Q01813	PFKAL_HUMAN;PFKAP_HUMAN	PFKL;PFKP	ATP-dependent 6-phosphofructokinase, liver type	220.227	166.999	171.92
P17931	P17931	LEG3_HUMAN	LGALS3	Galectin-3	41.3362	28.93	35.1849
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	150.094	136.876	147.56
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	546.768	567.913	560.26
P18031	P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	105.325	88.6316	96.5665
P18065	P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2			6.87436
P18074	P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD	5.79653		21.4601
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	379.165	407.334	320.816
P18085	P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	234.912	210.91	157.236
P18085;P84085	P61204;P84085;P84077;P18085	ARF4_HUMAN;ARF5_HUMAN	ARF4;ARF5	ADP-ribosylation factor 4	788.685	755.14	516.25
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	1231.96	1147.51	1220.16
P18206	P18206	VINC_HUMAN	VCL	Vinculin	165.448	158.836	159.637
P18564	P18564	ITB6_HUMAN	ITGB6	Integrin beta-6	86.4066	36.305	92.4553
P18615	P18615	NELFE_HUMAN	NELFE	Negative elongation factor E		15.1657	14.7107
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	614.706	599.544	708.069
P18669	P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	1099.37	1193.11	1175.71
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	92.7068	104.854	98.5011
P18827	P18827	SDC1_HUMAN	SDC1	Syndecan-1	22.2868		36.6185
P18858	P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	44.327	25.1543	32.0181
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	20.227	8.56143	20.9275
P19174	P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1		7.75608	9.2619
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	832.536	921.165	919.113
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	39.1618	41.2595	45.8153
P19367;P52789	P52789;P19367	HXK1_HUMAN;HXK2_HUMAN	HK1;HK2	Hexokinase-1	47.0288	35.9752	34.5266
P19367;P52789;Q2TB90	P52789;P52790;P19367;Q2TB90	HKDC1_HUMAN;HXK1_HUMAN;HXK2_HUMAN	HK1;HK2;HKDC1	Hexokinase-1		23.5063	18.9856
P19387	P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3		21.2923	15.118
P19388	P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	47.9386	27.5125	21.2019
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	152.417	116.501	96.0955
P19525	P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	19.0184	17.0045	21.6191
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase	162.752	169.543	156.224
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	35.7413	35.6242	43.2324
P19823	P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	699.984	1088.23	673.258
P19827	P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	58.8264	87.556	69.9026
P19838	P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	37.5476		21.2626
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	19.5673		8.74289
P20020	P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	26.939	18.6289	21.4441
P20020;P23634	P20020;P23634	AT2B1_HUMAN;AT2B4_HUMAN	ATP2B1;ATP2B4	Plasma membrane calcium-transporting ATPase 1	22.9993	32.2042	22.7068
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	81.6947	92.6933	76.9909
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	65.9107	75.3431	80.7818
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	123.688	152.326	158.385
P20336	P20336	RAB3A_HUMAN	RAB3A	Ras-related protein Rab-3A			17.0101
P20336;P20338;P61006;P61026;P61106;P62820;Q15286;Q6IQ22;Q92930;Q9H0U4	P20336;Q92930;Q96DA2;Q96E17;Q92928;Q15286;P20338;Q6IQ22;Q96AX2;P61018;P20337;P61106;P62820;O95716;Q9H0U4;P61026;Q86YS6;P61006;Q15771	RAB10_HUMAN;RAB12_HUMAN;RAB14_HUMAN;RAB1A_HUMAN;RAB1B_HUMAN;RAB35_HUMAN;RAB3A_HUMAN;RAB4A_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN	RAB10;RAB12;RAB14;RAB1A;RAB1B;RAB35;RAB3A;RAB4A;RAB8A;RAB8B	Ras-related protein Rab-3A	758.857	653.203	497.929
P20338	P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A	21.2309	23.8122	26.5037
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	45.0678	45.1333	38.9922
P20339;P51148	P20339;P61020;P51148	RAB5A_HUMAN;RAB5C_HUMAN	RAB5A;RAB5C	Ras-related protein Rab-5A	254.973	239.024	147.256
P20340	P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	176.673	143.486	155.043
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	237.695	220.098	204.425
P20645	P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor	31.268	23.6587	27.8957
P20674	P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	58.1377	41.0909	60.5113
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	19.1932	36.863	24.085
P20742	P20742	PZP_HUMAN	PZP	Pregnancy zone protein	41.5424	108.327	62.2004
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	40.723	32.9537	53.5171
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	23.5622	23.8345	22.2917
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	133.24	156.186	240.384
P21127;Q9UQ88	Q9UQ88;P21127	CD11A_HUMAN;CD11B_HUMAN	CDK11A;CDK11B	Cyclin-dependent kinase 11B	29.0781	25.9653	27.5931
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	55.9822	49.3264	51.4396
P21283	P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	43.3573	48.284	25.2088
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	32.2813	21.6284	24.0542
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	443.058	478.134	521.542
P21333;Q14315	Q14315;P21333	FLNA_HUMAN;FLNC_HUMAN	FLNA;FLNC	Filamin-A	15.394	19.1347	21.5552
P21399	P21399	ACOC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	74.2781	61.328	73.4484
P21579	P21579	SYT1_HUMAN	SYT1	Synaptotagmin-1	24.0651	13.2585	11.8255
P21583	P21583	SCF_HUMAN	KITLG	Kit ligand	49.1606	29.5083	46.8324
P21741	P21741	MK_HUMAN	MDK	Midkine	14.2771	23.362	18.7843
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	422.578	437.889	498.236
P21912	P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	84.8747	77.7963	67.2138
P21926	P21926	CD9_HUMAN	CD9	CD9 antigen	33.6796	78.9928	46.4419
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	31.8995	57.2598	48.8827
P22033	P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	7.33845		12.4506
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	22.9233	22.5004	24.0882
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	116.293	113.23	125.904
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	79.3307	68.5545	73.4902
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	214.372	205.171	217.102
P22223	P22223	CADH3_HUMAN	CDH3	Cadherin-3	27.8686	27.2168	34.3847
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2	408.291	425.645	422.875
P22307	P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	72.4623	76.9693	63.2129
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	447.018	454.889	459.884
P22392	P22392;O60361	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	463.695	438.117	533.902
P22570	P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	65.2061	63.5367	73.4758
P22607	P22607	FGFR3_HUMAN	FGFR3	Fibroblast growth factor receptor 3	10.0605		
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	394.996	470.918	324.305
P22681	P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL	17.6174		12.4912
P22694	P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	20.4913	19.9669	13.3039
P22695	P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	133.017	131.863	137.205
P22830	P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	18.6017	13.2114	19.6459
P23142	P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	57.0774	69.317	62.6183
P23193	P23193;Q15560	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	95.1175	108.219	106.666
P23229	P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	19.6773	21.0511	25.9984
P23246	P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	174.862	230.09	171.116
P23246;Q15233	P23246;Q15233	NONO_HUMAN;SFPQ_HUMAN	NONO;SFPQ	Splicing factor, proline- and glutamine-rich	111.555	144.676	127.246
P23258	Q9NRH3;P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	53.9533	56.6808	44.6187
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	559.201	530.273	511.332
P23368	P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	66.5259	59.1278	57.3721
P23381	P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	105.458	152.138	122.781
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	800.602	823.404	807.525
P23434	P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	96.465	130.605	116.792
P23443	P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1	9.75058	12.5138	10.8234
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	451.898	434.437	447.301
P23528	P23528	COF1_HUMAN	CFL1	Cofilin-1	773.662	871.945	880.142
P23528;P60981;Q9Y281	P23528;P60981;Q9Y281	COF1_HUMAN;COF2_HUMAN;DEST_HUMAN	CFL1;CFL2;DSTN	Cofilin-1	128.211	142.617	135.138
P23528;Q9Y281	P23528;Q9Y281	COF1_HUMAN;COF2_HUMAN	CFL1;CFL2	Cofilin-1	773.568	862.394	593.137
P23588	P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	152.456	185.156	178.452
P23634	P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4			6.41558
P23786	P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	7.85098		9.25666
P23919	P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	29.0646	24.5226	24.6081
P23921	P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	113.598	103.143	91.7815
P24390;P33947	P24390;P33947	ERD21_HUMAN;ERD22_HUMAN	KDELR1;KDELR2	ER lumen protein-retaining receptor 1		7.97497	
P24468	P10588;P24468;P10589	COT2_HUMAN	NR2F2	COUP transcription factor 2	28.3441	17.5092	18.4991
P24534	P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	524.302	492.514	507.971
P24539	P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	87.1143	79.6802	81.9782
P24666	P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	173.937	149.052	152.312
P24752	P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	132.428	146.185	142.814
P24928	P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	19.6647	14.8447	15.6559
P24941	P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	342.272	240.864	269.271
P25098;P35626	P35626;P25098	ARBK1_HUMAN;ARBK2_HUMAN	GRK2;GRK3	Beta-adrenergic receptor kinase 1		14.2117	19.5482
P25205	P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	186.379	177.585	203.67
P25325	P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	25.2166		26.9802
